,track,album_name,artists,release_date,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,apple_music_playlist_count
44,My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,45,206.2,"997,702,304","105,927","92,834,002",86.0,"48,093,111","959,175",91.0
45,Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,46,205.7,"59,314,441","2,572","183,043,096",83.0,"22,374,807","1,026,097",199.0
48,If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,49,203.6,"304,929,492","43,923","46,133,083",69.0,"61,986,821","921,044",78.0
49,Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,50,203.5,"1,747,093,405","178,114","49,464,650",74.0,"9,537,135,721","61,799,279",179.0
50,euphoria,euphoria,Kendrick Lamar,4/30/2024,51,202.1,"168,434,320","17,168","62,516,401",86.0,"53,604,746","1,846,535",65.0
52,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,53,198.0,"1,391,688,322","163,876","130,963,116",77.0,"902,742,581","8,099,187",316.0
53,Shape of You,Shape of You,Ed Sheeran,1/6/2017,54,195.1,"3,909,458,734","316,378","148,037,882",80.0,"8,013,997,219","45,770,887",465.0
55,Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,56,194.0,"4,281,468,720","590,392","165,544,011",83.0,"833,807,130","10,093,211",859.0
56,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,57,192.3,"1,337,619,917","228,295","64,806,723",80.0,"193,982,443","2,023,998",152.0
59,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,60,189.1,"1,556,275,789","210,583","95,974,138",74.0,"254,051,906","3,364,206",203.0
62,Supernova,Supernova,aespa,5/13/2024,63,186.1,"69,729,033","2,483","21,046,278",81.0,"111,310,770","1,724,693",40.0
63,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,64,184.8,"1,811,990,630","173,358","67,603,671",79.0,"1,516,863,120","8,870,768",124.0
65,Calm Down,Calm Down,Rema,2/10/2022,66,180.1,"584,427,088","182,994","19,203,258",68.0,"1,141,904,909","8,766,235",138.0
66,CARNIVAL,CARNIVAL,ï¿½ï¿½$,2/8/2024,67,179.6,"466,887,055","53,842","103,935,623",84.0,"27,688,666","449,112",42.0
67,Kill Bill,SOS,SZA,12/8/2022,68,177.7,"1,873,746,537","190,202","99,546,318",82.0,"220,538,045","3,153,793",214.0
68,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,69,177.6,"891,720,245","114,560","97,542,546",82.0,"144,741,616","2,761,964",168.0
69,Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,70,176.2,"46,567",252,"21,930",6.0,"2,038,459,981","6,076,902",2.0
70,Heat Waves,Heat Waves,Glass Animals,6/29/2020,71,175.0,"2,996,181,078","486,278","112,416,489",82.0,"1,272,898,075","14,947,520",459.0
72,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,73,174.3,"946,941,510","100,130","74,836,321",74.0,"776,436,101","12,951,756",110.0
74,Old Town Road,Old Town Road,Lil Nas X,3/14/2019,75,170.3,"1,010,494,713","127,393","18,652,312",67.0,"3,203,314,695","41,487,213",63.0
75,un x100to,un x100to,Grupo Frontera,4/17/2023,76,170.2,"1,008,495,696","99,381","57,394,938",75.0,"878,892,413","4,425,283",101.0
77,Sprinter,Sprinter - Single,Dave,6/1/2023,78,168.1,"692,512,930","199,828","55,464,762",78.0,"219,666,692","2,332,307",155.0
78,CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,79,167.8,"169,410,711","11,028","144,854,768",90.0,"19,402,457","997,411",185.0
79,TQG,TQG,KAROL G,2/23/2023,80,167.8,"1,024,381,758","78,554","69,319,589",78.0,"1,102,289,596","8,953,293",138.0
80,Perfect,ï¿½ï¿½ (Deluxe),Ed Sheeran,3/3/2017,81,167.5,"2,969,999,682","280,165","116,921,604",81.0,"6,473,698,897","39,632,673",208.0
81,Pepas,Pepas,Farruko,6/24/2021,82,167.3,"1,500,499,584","359,502","125,112,486",74.0,"1,431,591,689","11,553,088",258.0
83,Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,84,166.5,"1,215,336,974","129,463","39,814,172",74.0,"701,880,622","3,831,236",83.0
84,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,85,166.2,"860,026,452","74,769","139,913,794",80.0,"173,044,031","1,640,319",7.0
85,La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,86,164.9,"1,032,225,805","94,887","74,469,479",79.0,"920,878,032","3,118,229",83.0
87,Easy On Me,Easy On Me,Adele,10/14/2021,88,163.2,"1,720,918,065","209,635","93,875,458",73.0,"1,194,846,205","13,561,925",325.0
88,Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,89,163.1,"1,514,239,759","190,692","77,283,361",77.0,"1,366,181,141","9,358,441",150.0
89,All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,90,162.0,"333,202,114","108,322","41,018,697",68.0,"203,487,345","2,084,532",148.0
90,Anti-Hero,Midnights,Taylor Swift,10/21/2022,91,161.8,"1,563,224,246","117,005","97,456,780",80.0,"203,259,285","3,482,508",261.0
91,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,92,161.7,"1,692,951,462","209,490","88,591,675",78.0,"1,132,539,234","8,795,731",99.0
92,Magnetic,SUPER REAL ME,ILLIT,3/25/2024,93,161.0,"255,076,355","11,500","90,584,540",86.0,"202,206,901","2,596,912",67.0
93,Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,94,158.2,"275,349,653","37,806","22,826,643",70.0,"347,506,860","1,553,295",19.0
94,La Diabla,La Diabla - Single,Xavi,12/2/2023,95,155.9,"649,404,552","27,544","47,789,063",83.0,"433,839,212","2,750,086",29.0
95,Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,96,153.6,"851,085,705","129,047","50,996,176",70.0,"211,810,152","2,461,166",162.0
96,Snooze,SOS,SZA,12/9/2022,97,153.3,"1,013,350,808","108,036","86,470,319",84.0,"390,677,417","2,521,214",154.0
97,BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,98,153.1,"359,803,580","26,065","79,152,427",86.0,"369,321,334","1,839,225",40.0
99,Prada,Prada,cassï¿½,8/11/2023,100,152.5,"609,699,748","128,498","160,755,092",83.0,"47,611,547","418,343",129.0
