,spotify_id,artist_id,track,album,artists,release_date,duration (ms),popularity,added_by,added_at,genres
15,6Xom58OOXk2SoU711L2IXO,4q3ewBCX7sLwd24euuV69X,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,245939,84,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino"
16,50nfwKoDiSYg8zOCREWAm5,6eUKZXaKkcviH0Ku9w2n3V,Shivers,=,Ed Sheeran,2021-10-29,207853,87,spotify:user:,2022-11-30T13:47:00Z,"pop,singer-songwriter pop,uk pop"
17,0gplL1WMoJ6iYaPgMCL0gX,4dpARuHxo51G3z768sgnrY,Easy On Me,Easy On Me,Adele,2021-10-14,224694,84,spotify:user:,2022-11-30T13:47:00Z,"british soul,pop,pop soul,uk pop"
18,58HvfVOeJY7lUuCqF0m3ly,67MNhiAICFY6Pwc2YxCO0K,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhé,2020-01-10,184447,84,spotify:user:,2022-11-30T13:47:00Z,alt z
19,6Uj1ctrBOjOas8xZXGqKk4,5cj0lLjcoR7YOSnhnX0Po5,Woman,Planet Her,Doja Cat,2021-06-25,172626,86,spotify:user:,2022-11-30T13:47:00Z,"dance pop,pop"
20,2QjOHCTQ1Jl3zawyYOpxh6,77SW9BnxLY8rJ0RciFqkHh,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,92,spotify:user:,2022-11-30T13:47:00Z,"modern alternative rock,modern rock,pop,pov: indie"
21,6mmPpaltUZK7xjNlBPQQ0p,"1mcTU81TzQhprhouKaTkpq,37230BxxYs9ksS7OkZw3IU",Desesperados,VICE VERSA,"Rauw Alejandro,Chencho Corleone",2021-12-10,224996,81,spotify:user:,2022-11-30T13:47:00Z,"puerto rican pop,reggaeton,trap latino,urbano latino,reggaeton flow"
22,3JvKfv6T31zO0ini8iNItO,2txHhyCwHjUEpJjWrEyqyX,Another Love,Long Way Down (Deluxe),Tom Odell,2013-06-24,244360,92,spotify:user:,2022-11-30T13:47:00Z,chill pop
23,7dSZ6zGTQx66c2GF91xCrb,790FomKkXshlbRYZFtlgla,PROVENZA,PROVENZA,KAROL G,2022-04-22,210200,79,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino"
24,0QBzMgT7NIeoCYy3sJCof1,"4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V",Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",2022-03-04,206070,79,spotify:user:,2022-11-30T13:47:00Z,"dance pop,pop,singer-songwriter pop,uk pop"
25,0wHFktze2PHC5jDt3B17DC,2LIk90788K0zvyj2JJVwkJ,First Class,Come Home The Kids Miss You,Jack Harlow,2022-05-06,173947,81,spotify:user:,2022-11-30T13:47:00Z,"deep underground hip hop,kentucky hip hop,pop rap,rap"
26,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,spotify:user:,2022-11-30T13:47:00Z,"canadian contemporary r&b,canadian pop,pop"
27,1ri9ZUkBJVFUdgwzCnfcYs,"4obzFoKoKRHIphyHzJ35G3,790FomKkXshlbRYZFtlgla",MAMIII,MAMIII,"Becky G,KAROL G",2022-02-10,226088,76,spotify:user:,2022-11-30T13:47:00Z,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino,reggaeton colombiano"
28,3uUuGVFu1V7jTQL60S1r8z,"7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX",Where Are You Now,Where Are You Now,"Lost Frequencies,Calum Scott",2021-07-30,148197,86,spotify:user:,2022-11-30T13:47:00Z,"belgian edm,edm,pop dance,tropical house,pop"
29,3rmo8F54jFF8OgYsqTxm5d,6eUKZXaKkcviH0Ku9w2n3V,Bad Habits,=,Ed Sheeran,2021-10-29,230746,85,spotify:user:,2022-11-30T13:47:00Z,"pop,singer-songwriter pop,uk pop"
30,5fwSHlTEWpluwOM0Sxnh5k,329e4yvIujISKGKz1BZZbO,Pepas,Pepas,Farruko,2021-06-24,287120,83,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino"
31,4ZtFanR9U6ndgddUvNcjcG,1McMsnEElThX1knmY4oliG,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,86,spotify:user:,2022-11-30T13:47:00Z,pop
32,2eAvDnpXP5W0cVtiI0PUxV,2WzaAvm2bBCf4pEhyuDgCY,Dandelions,Safe Haven,Ruth B.,2017-05-05,233720,90,spotify:user:,2022-11-30T13:47:00Z,"alt z,canadian contemporary r&b,canadian pop,pop"
33,1PckUlxKqWQs3RlWXVBLw3,56oDRnqbIiwx4mymNEv7dS,About Damn Time,About Damn Time,Lizzo,2022-04-14,191822,78,spotify:user:,2022-11-30T13:47:00Z,"escape room,minnesota hip hop,pop,trap queen"
34,0e8nrvls4Qqv5Rfa2UhqmO,7jVv8c5Fj3E9VhNjxT4snq,THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,83,spotify:user:,2022-11-30T13:47:00Z,lgbtq+ hip hop
35,4h9wh7iOZ0GGn8QVp4RAOB,5Pwc4xIPtQLFEnJriah9YJ,I Ain't Worried,I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick),OneRepublic,2022-05-13,148485,91,spotify:user:,2022-11-30T13:47:00Z,"piano rock,pop"
36,46HNZY1i7O6jwTA7Slo2PI,"4gzpq5DPGxSnKTe4SA8HAU,3Nrfpe0tUJi4K4DXYWgMUX",My Universe,Music Of The Spheres,"Coldplay,BTS",2021-10-15,226198,80,spotify:user:,2022-11-30T13:47:00Z,"permanent wave,pop,k-pop,k-pop boy group"
37,5ww2BF9slyYgNOk37BlC4u,0tmwSHipWxN12fsoLcFU3B,La Bachata,La Bachata,Manuel Turizo,2022-05-26,162637,86,spotify:user:,2022-11-30T13:47:00Z,"colombian pop,reggaeton,reggaeton colombiano,trap latino,urbano latino"
