,track,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts
83,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99
85,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75
86,Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120
88,Makeba,Jain,1,2015,6,22,6060,53,165484133,150,148
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52
90,Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97
91,What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89
93,Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45
94,Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145
96,Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105
97,Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156
98,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143
99,Take Two,BTS,1,2023,6,9,674,47,118482347,20,106
