Unnamed: 0,spotify_id,track,artists,popularity,album_release_date,album_release_year,album_release_month
62,45S5WTQEGOB1VHr1Q4FuPl,Golden,Harry Styles,88,2019-12-13,2019,December
63,7m9OqQk4RVRkw9JJdeAw96,Jocelyn flores,XXXTENTACION,87,2017-08-25,2017,August
64,4cG7HUWYHBV6R6tHn1gxrl,Friday,Riton,87,2021-01-15,2021,January
65,5JqZ3oqF00jkT81foAFvqg,Prisoner,Miley Cyrus,87,2020-11-20,2020,November
66,2Fxmhks0bxGSBdJ92vM42m,Bad guy,Billie Eilish,87,2019-03-29,2019,March
67,55Am8neGJkdj2ADaM3aw5H,Train wreck,James Arthur,87,2016-10-28,2016,October
68,285pBltuF7vW8TeWk8hdRR,Lucid dreams,Juice WRLD,87,2018-12-10,2018,December
69,0nbXyq5TXYPCO7pr3N8S4I,The box,Roddy Ricch,87,2019-12-06,2019,December
70,7fBv7CLKzipRk6EC6TWHOB,The hills,The Weeknd,87,2015-08-28,2015,August
71,2Z8yfpFX0ZMavHkcIeHiO1,Monster,Shawn Mendes,87,2020-11-20,2020,November
72,7MAibcTli4IisCtbHKrGMh,Leave the door open,Bruno Mars,87,2021-03-05,2021,March
73,6gBFPUFcJLzWGx4lenP6h2,Goosebumps,Travis Scott,87,2016-09-16,2016,September
74,65OVbaJR5O1RmwOQx0875b,Wants and needs,Drake,87,2021-03-05,2021,March
75,59qrUpoplZxbIZxk6X0Bm3,Take you dancing,Jason Derulo,87,2020-07-22,2020,July
76,5E30LdtzQTGqRvNd7l6kG5,Daddy issues,The Neighbourhood,87,2015-10-30,2015,October
77,2r6OAV3WsYtXuXjvJ1lIDi,Hello,Pop Smoke,87,2020-07-20,2020,July
78,3eekarcy7kvN4yt5ZFzltW,Highest in the room,Travis Scott,87,2019-10-04,2019,October
79,6Hj9jySrnFppAI0sEMCZpJ,Robbery,Juice WRLD,87,2019-03-08,2019,March
80,1xQ6trAsedVPCdbtDAmk0c,Savage love,Jawsh 685,87,2020-06-11,2020,June
81,7BIy3EGQhg98CsRdKYHnJC,Ropa cara,Camilo,87,2021-01-18,2021,January
82,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,87,2019-09-20,2019,September
83,2U5WueTLIK5WJLD7mvDODv,Wishing well,Juice WRLD,87,2020-07-10,2020,July
84,0EhpEsp4L0oRGM0vmeaN5e,Un dia,J Balvin,87,2020-07-24,2020,July
85,73nAK3HgQK8dak83Y2WQ8F,Vida de rico,Camilo,87,2020-09-21,2020,September
86,0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,87,2017-06-23,2017,June
87,3H7ihDc1dqLriiWXwsc2po,Breaking me,Topic,87,2019-12-19,2019,December
88,3FxPbp05KjMBa4HbhAJTH0,Sugarcrash!,ElyOtto,87,2020-08-25,2020,August
89,5y7DaS3jAc9eZzcSOoUIwU,Una locura,Ozuna,87,2020-09-04,2020,September
90,6AGOKlMZWLCaEJGnaROtF9,Put your records on,Ritt Momney,87,2020-04-24,2020,April
91,1KixkQVDUHggZMU9dUobgm,My head & my heart,Ava Max,87,2020-09-18,2020,September
92,7D7EH7MGyNHWSkqrszerI1,Bebé,Camilo,87,2020-11-25,2020,November
93,15OjBeqNX3bShsGYQbteRv,La tóxica,Farruko,87,2020-07-24,2020,July
94,7r9ZhitdQBONTFOiJW5mr8,Reloj,Rauw Alejandro,87,2020-10-22,2020,October
95,2bgcUk2A3jjKbCJ7KPquTi,Mi niña,Wisin,87,2020-09-23,2020,September
96,3jjujdWJ72nww5eGnfs2E7,Adore you,Harry Styles,86,2019-12-13,2019,December
97,086myS9r57YsLbJpU0TgK9,Why'd you only call me when you're high?,Arctic Monkeys,86,2013-09-09,2013,September
98,3U4isOIWM3VvDubwSI3y7a,All of me,John Legend,86,2013-08-30,2013,August
99,1VLtjHwRWOVJiE5Py7JxoQ,Martin & gina,Polo G,86,2020-05-15,2020,May
